"name","media_rental_durantion","media_rental_rate","media_lenght","media_replacement_cost"
"Family","5.1739130434782609","2.7581159420289855","114.7826086956521739","19.7291304347826087"
"Games","5.0655737704918033","3.2522950819672131","127.8360655737704918","20.2850819672131148"
"Animation","4.8939393939393939","2.8081818181818182","111.0151515151515152","20.1263636363636364"
"Classics","5.0701754385964912","2.7443859649122807","111.6666666666666667","21.0075438596491228"
"Documentary","4.7647058823529412","2.6664705882352941","108.7500000000000000","19.6223529411764706"
"New","4.7460317460317460","3.1169841269841270","111.1269841269841270","19.4185714285714286"
"Sports","4.7162162162162162","3.1251351351351351","128.2027027027027027","20.3954054054054054"
"Children","5.0333333333333333","2.8900000000000000","109.8000000000000000","20.0566666666666667"
"Music","5.2352941176470588","2.9507843137254902","113.6470588235294118","19.4409803921568627"
"Travel","5.3508771929824561","3.2356140350877193","113.3157894736842105","19.0250877192982456"
"Foreign","5.1095890410958904","3.0995890410958904","121.6986301369863014","18.6475342465753425"
"Drama","5.0806451612903226","3.0222580645161290","120.8387096774193548","21.0867741935483871"
"Horror","4.8571428571428571","3.0257142857142857","112.4821428571428571","19.8650000000000000"
"Action","4.9531250000000000","2.6462500000000000","111.6093750000000000","20.9118750000000000"
"Sci-Fi","4.8852459016393443","3.2195081967213115","108.1967213114754098","21.1539344262295082"
"Comedy","4.9310344827586207","3.1624137931034483","115.8275862068965517","19.0244827586206897"
